Airport,Timezone
ANU,America/Antigua
EZE,America/Argentina/Buenos_Aires
AUA,America/Aruba
BNE,Australia/Brisbane
CNS,Australia/Brisbane
MEL,Australia/Melbourne
SYD,Australia/Sydney
NAS,America/Nassau
BAH,Asia/Bahrain
BGI,America/Barbados
BRU,Europe/Brussels
BZE,America/Belize
BDA,America/Toronto
BON,America/Kralendijk
CNF,America/Sao_Paulo
GIG,America/Sao_Paulo
GRU,America/Sao_Paulo
YYC,America/Edmonton
YEG,America/Edmonton
YHZ,America/Halifax
YUL,America/Montreal
YOW,America/Toronto
YYT,America/St_Johns
YYZ,America/Toronto
YVR,America/Vancouver
YYJ,America/Vancouver
GCM,America/Cayman
SCL,America/Santiago
PEK,Asia/Shanghai
CTU,Asia/Chongqing
HGH,Asia/Shanghai
PVG,Asia/Shanghai
XIY,Asia/Chongqing
BOG,America/Bogota
LIR,America/Costa_Rica
SJO,America/Costa_Rica
DBV,Europe/Zagreb
HAV,America/Havana
CUR,America/Curacao
PRG,Europe/Prague
CPH,Europe/Copenhagen
POP,America/Santo_Domingo
PUJ,America/Santo_Domingo
STI,America/Santo_Domingo
SDQ,America/Santo_Domingo
UIO,America/Guayaquil
SAL,America/El_Salvador
TKK,Pacific/Chuuk
KSA,Pacific/Pohnpei
PNI,Pacific/Pohnpei
YAP,Pacific/Yap
NCE,Europe/Paris
CDG,Europe/Paris
PPT,Pacific/Tahiti
BER,Europe/Berlin
TXL,Europe/Berlin
DUS,Europe/Berlin
FRA,Europe/Berlin
HAM,Europe/Berlin
MUC,Europe/Berlin
STR,Europe/Berlin
ACC,Africa/Accra
ATH,Europe/Athens
GUA,America/Guatemala
PAP,America/Port-au-Prince
RTB,America/Tegucigalpa
SAP,America/Tegucigalpa
TGU,America/Tegucigalpa
HKG,Asia/Hong_Kong
KEF,Atlantic/Reykjavik
BLR,Asia/Kolkata
DEL,Asia/Kolkata
BOM,Asia/Kolkata
DUB,Europe/Dublin
SNN,Europe/Dublin
TLV,Asia/Jerusalem
MXP,Europe/Rome
NAP,Europe/Rome
FCO,Europe/Rome
VCE,Europe/Rome
MBJ,America/Jamaica
FUK,Asia/Tokyo
HIJ,Asia/Tokyo
NGO,Asia/Tokyo
NKM,Asia/Tokyo
OKA,Asia/Tokyo
KIJ,Asia/Tokyo
OKJ,Asia/Tokyo
KIX,Asia/Tokyo
CTS,Asia/Tokyo
SDJ,Asia/Tokyo
HND,Asia/Tokyo
NRT,Asia/Tokyo
AMM,Asia/Amman
KWI,Asia/Kuwait
KWA,Pacific/Kwajalein
MAJ,Pacific/Majuro
ACA,America/Mexico_City
CUN,America/Cancun
CZM,America/Cancun
GDL,America/Mexico_City
ZIH,America/Mexico_City
BJX,America/Mexico_City
MZT,America/Mazatlan
MID,America/Merida
MEX,America/Mexico_City
MTY,America/Monterrey
PVR,America/Mexico_City
SJD,America/Mazatlan
AMS,Europe/Amsterdam
AKL,Pacific/Auckland
MGA,America/Managua
LOS,Africa/Lagos
BGO,Europe/Oslo
OSL,Europe/Oslo
ROR,Pacific/Palau
PTY,America/Panama
LIM,America/Lima
MNL,Asia/Manila
LIS,Europe/Lisbon
PDL,Atlantic/Azores
OPO,Europe/Lisbon
DOH,Asia/Qatar
DME,Europe/Moscow
UVF,America/St_Lucia
SIN,Asia/Singapore
SXM,America/Lower_Princes
CPT,Africa/Johannesburg
JNB,Africa/Johannesburg
GMP,Asia/Seoul
ICN,Asia/Seoul
DHA,Asia/Riyadh
JED,Asia/Riyadh
RUH,Asia/Riyadh
BCN,Europe/Madrid
MAD,Europe/Madrid
PMI,Europe/Madrid
TFS,Atlantic/Canary
SKB,America/St_Kitts
ARN,Europe/Stockholm
GVA,Europe/Zurich
ZRH,Europe/Zurich
TPE,Asia/Taipei
DMK,Asia/Bangkok
BKK,Asia/Bangkok
POS,America/Port_of_Spain
ISL,Europe/Istanbul
PLS,America/Grand_Turk
DXB,Asia/Dubai
BFS,Europe/London
BHX,Europe/London
EDI,Europe/London
GLA,Europe/London
LHR,Europe/London
MAN,Europe/London
NCL,Europe/London
ANC,America/Anchorage
FAI,America/Anchorage
PHX,America/Phoenix
TUS,America/Phoenix
BUR,America/Los_Angeles
FAT,America/Los_Angeles
LAX,America/Los_Angeles
OAK,America/Los_Angeles
ONT,America/Los_Angeles
SNA,America/Los_Angeles
PSP,America/Los_Angeles
SMF,America/Los_Angeles
SAN,America/Los_Angeles
SFO,America/Los_Angeles
SJC,America/Los_Angeles
SBA,America/Los_Angeles
COS,America/Denver
DEN,America/Denver
MTJ,America/Denver
EGE,America/Denver
BDL,America/New_York
FLL,America/New_York
RSW,America/New_York
JAX,America/New_York
MIA,America/New_York
MCO,America/New_York
ECP,America/Chicago
PNS,America/Chicago
SRQ,America/New_York
TPA,America/New_York
PBI,America/New_York
ATL,America/New_York
SAV,America/New_York
GUM,Pacific/Guam
ITO,Pacific/Honolulu
HNL,Pacific/Honolulu
OGG,Pacific/Honolulu
KOA,Pacific/Honolulu
LIH,Pacific/Honolulu
BOI,America/Boise
ORD,America/Chicago
MDW,America/Chicago
IND,America/Indiana/Indianapolis
CID,America/Chicago
DSM,America/Chicago
ICT,America/Chicago
CVG,America/New_York
SDF,America/New_York
MSY,America/Chicago
PWM,America/New_York
BWI,America/New_York
BOS,America/New_York
DTW,America/Detroit
GRR,America/Detroit
TVC,America/Detroit
DLH,America/Chicago
MSP,America/Chicago
